timestamp,client,command,args
"21:42:22.516","[0 103.44.52.75:55886]","SETEX","""codename:Subject #220"" ""30"" ""{\""user_id\"": \""fdf4a967-8e65-44f1-81b3-03a48686ab38\"", \""topic\"": \""incompatible test\"", \""gender\"": \""male\"", \""preference\"": \""female\""}"""
"21:42:24.590","[0 103.44.52.75:55886]","SPOP","""queue:incompatible test:male:male"""
"21:42:24.617","[0 103.44.52.75:55886]","SPOP","""queue:incompatible test:male:any"""
"21:42:24.647","[0 103.44.52.75:55886]","SADD","""queue:incompatible test:male:male"" ""15e6f596-0c1c-4b71-8410-f0c3bff3cad3"""
"21:42:24.679","[0 103.44.52.75:55886]","EXPIRE","""queue:incompatible test:male:male"" ""3600"""
"21:42:24.706","[0 103.44.52.75:55886]","SETEX","""user:15e6f596-0c1c-4b71-8410-f0c3bff3cad3:data"" ""30"" ""{\""id\"": \""15e6f596-0c1c-4b71-8410-f0c3bff3cad3\"", \""codename\"": \""Subject #900\"", \""gender\"": \""male\"", \""preference\"": \""male\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""incompatible test\"", \""joined_at\"": 1771085544}"""
"21:42:24.733","[0 103.44.52.75:55886]","SETEX","""user:15e6f596-0c1c-4b71-8410-f0c3bff3cad3:heartbeat"" ""30"" ""1"""
"21:42:24.760","[0 103.44.52.75:55886]","SETEX","""codename:Subject #900"" ""30"" ""{\""user_id\"": \""15e6f596-0c1c-4b71-8410-f0c3bff3cad3\"", \""topic\"": \""incompatible test\"", \""gender\"": \""male\"", \""preference\"": \""male\""}"""
"21:42:24.800","[0 74.220.52.2:64748]","KEYS","""queue:*"""
"21:42:24.866","[0 74.220.52.2:64748]","SCARD","""queue:incompatible test:male:female"""
"21:42:24.931","[0 74.220.52.2:64748]","SCARD","""queue:incompatible test:male:male"""
"21:42:24.996","[0 74.220.52.2:64748]","KEYS","""room:*:p"""
"21:42:26.833","[0 103.44.52.75:55886]","FLUSHDB",""
"21:42:28.917","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:male:male"""
"21:42:28.945","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:male:any"""
"21:42:28.972","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:female:male"""
"21:42:28.998","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:female:any"""
"21:42:29.025","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:other:male"""
"21:42:29.051","[0 103.44.52.75:55886]","SPOP","""queue:any gender test:other:any"""
"21:42:29.079","[0 103.44.52.75:55886]","SADD","""queue:any gender test:male:any"" ""a40eb7ab-14e6-4fb3-bebe-35efbee3ae00"""
"21:42:29.106","[0 103.44.52.75:55886]","EXPIRE","""queue:any gender test:male:any"" ""3600"""
"21:42:29.136","[0 103.44.52.75:55886]","SETEX","""user:a40eb7ab-14e6-4fb3-bebe-35efbee3ae00:data"" ""30"" ""{\""id\"": \""a40eb7ab-14e6-4fb3-bebe-35efbee3ae00\"", \""codename\"": \""Subject #573\"", \""gender\"": \""male\"", \""preference\"": \""any\"", \""nickname\"": \""Anonymous\"", \""motive\"": \""Just chatting\"", \""topic\"": \""any gender test\"", \""joined_at\"": 1771085549}"""
"21:42:29.163","[0 103.44.52.75:55886]","SETEX","""user:a40eb7ab-14e6-4fb3-bebe-35efbee3ae00:heartbeat"" ""30"" ""1"""
"21:42:29.191","[0 103.44.52.75:55886]","SETEX","""codename:Subject #573"" ""30"" ""{\""user_id\"": \""a40eb7ab-14e6-4fb3-bebe-35efbee3ae00\"", \""topic\"": \""any gender test\"", \""gender\"": \""male\"", \""preference\"": \""any\""}"""
